CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50082183,PANDA GARDEN,Queens,10718,CORONA AVE,11368,Chinese,3/27/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,3/27/2024,40.74355981,-73.85575155,404,21,43900,4047749,4019420048,QN25,
50105373,CAFE DE OLLA,Queens,3807,BROADWAY,11103,Mexican,5/23/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,13,A,5/23/2024,40.75929221,-73.91967013,401,22,15500,4010546,4006580105,QN70,
50105225,VELVETTE BREW,Brooklyn,279,5 AVENUE,11215,Coffee/Tea,1/12/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,12,A,1/12/2024,40.67389904,-73.9823425,306,39,13500,3020796,3009700010,BK37,
50110730,POKEWORKS,Manhattan,330,WEST   34 STREET,10001,Hawaiian,10/29/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,10/29/2024,40.752612,-73.99450301,104,3,10300,1013553,1007570054,MN13,
50058330,Mike's,Manhattan,44,EAST   32 STREET,10016,Coffee/Tea,4/8/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,6,A,4/8/2024,40.74625407,-73.98339873,105,4,7400,1016993,1008610047,MN17,
50131812,MANGO MANGO,Queens,3817,BELL BLVD,11361,Chinese,10/30/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12,A,10/30/2024,40.76622271,-73.77236027,411,19,112300,4137574,4062380009,QN46,
41467391,LA BRASA PERUANA,Brooklyn,4618,5 AVENUE,11220,Peruvian,1/23/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,1/23/2024,40.64718793,-74.00815854,307,38,8000,3011887,3007560143,BK32,
50106324,CHEN'S GARDEN,Staten Island,1547,ARTHUR KILL ROAD,10312,Chinese,4/1/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,13,A,4/1/2024,40.56250743,-74.19169771,503,51,22800,5127870,5059000020,SI05,
50069884,BARZOLA RESTAURANT,Queens,9520,ASTORIA BLVD,11369,Latin American,3/22/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,11,A,3/22/2024,40.76275613,-73.87392163,403,21,35300,4032924,4013750010,QN27,
50035278,MEXICUE,Manhattan,225,5 AVENUE,10010,Mexican,8/21/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,27,B,8/21/2024,40.74382003,-73.98790678,105,2,5600,1087263,1008567502,MN13,
50118317,CJ CAFE,Queens,9621,ROCKAWAY BLVD,11417,Caribbean,8/21/2024,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,13,A,8/21/2024,40.68033525,-73.84214867,410,32,4002,4191235,4091690259,QN56,
41333188,VIVI BUBBLE TEA,Manhattan,49,BAYARD STREET,10013,Coffee/Tea,1/9/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,16,B,1/9/2024,40.71520645,-73.99733782,103,1,2900,1001798,1001630030,MN27,
50061295,TARTINA,Manhattan,1034,AMSTERDAM AVENUE,10025,Italian,4/16/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12,A,4/16/2024,40.80356541,-73.96344202,109,7,19900,1056909,1018820036,MN09,
50099006,LOVE KOREAN BARBECUE,Manhattan,319,5 AVENUE,10016,Barbecue,6/6/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,12,A,6/6/2024,40.74723422,-73.98541954,105,4,7400,1017006,1008620001,MN17,
50062660,THAISM,Brooklyn,278,SMITH STREET,11231,Thai,7/10/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,63,Z,7/10/2024,40.68241725,-73.99339111,306,39,7500,3006844,3004210042,BK33,
50123514,OKEY,Brooklyn,445,ALBEE SQUARE,11201,Spanish,6/17/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,23,N,,40.69082623,-73.98345225,302,33,1500,3397861,3001497501,BK38,
50144999,TOWN PLACE SUITES,Queens,3842,11TH ST,11101,Continental,4/2/2024,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,13,A,4/2/2024,40.75805132,-73.94200432,401,26,8500,4000000,4004740048,QN68,
41641101,SIRENAS,Bronx,1896,JEROME AVENUE,10453,Tex-Mex,1/11/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,9,A,1/11/2024,40.85009002,-73.91062831,205,14,23301,2008233,2028520009,BX41,
50128938,COZIE'S PIZZERIA,Brooklyn,424,GREENWOOD AVENUE,11218,Pizza,6/12/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12,A,6/12/2024,40.65072953,-73.97755202,307,39,50000,3122811,3052830037,BK40,
41273072,ACE PIZZA,Queens,6104,MYRTLE AVENUE,11385,Pizza,2/20/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,2/20/2024,40.70082707,-73.89403728,405,30,55700,4086820,4035920003,QN20,
50125770,E STYLE SEAFOOD BOILS,Brooklyn,794,BROADWAY,11206,Seafood,2/7/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,9,A,2/7/2024,40.69991916,-73.94053677,303,36,28501,3337951,3015780017,BK78,
50091646,LOS CABOS CANTINA AND RESTAURANT,Brooklyn,4015,5 AVENUE,11232,Spanish,2/29/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,12,A,2/29/2024,40.65055322,-74.00462725,307,38,8800,3017968,3009170004,BK34,
50121140,PARCELLE,Manhattan,135C,DIVISION ST,10002,Other,10/15/2024,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,10,A,10/15/2024,40.71448152,-73.99115503,103,1,600,,1,MN28,
50103023,SUSHI STAR,Manhattan,462,9 AVENUE,10018,Japanese,10/15/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12,A,10/15/2024,40.75447299,-73.99549544,104,3,11100,1082255,1007590001,MN13,
50037764,SONAMU HOUSE,Queens,15815,NORTHERN BLVD,11358,Korean,3/11/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,10,A,3/11/2024,40.76342083,-73.8071045,407,19,117100,4119307,4052740005,QN51,
50148598,DEN OF SPLENDOR,Brooklyn,42,ALBANY AVENUE,11213,Other,9/24/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,45,N,,40.67940364,-73.93848206,303,36,27100,3053860,3018640036,BK61,
50090780,DON CEVICHE,Manhattan,88,ESSEX STREET,10002,Peruvian,10/31/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 Â°F; smoked or processed fish held above 38 Â°F; intact raw eggs held above 45 Â°F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,7,A,10/31/2024,40.71814005,-73.98840207,103,1,1800,1090554,1003527501,MN27,
50143066,SING CHOI KEE,Manhattan,182,BLEECKER STREET,10012,Chinese,10/15/2024,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,33,N,,40.72903462,-74.00095252,102,3,6500,1008319,1005260058,MN23,
50105361,VANESSA BAR & LOUNGE,Queens,11012,JAMAICA AVE,11418,American,6/21/2024,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,35,N,,40.69646015,-73.83773593,409,29,12601,4194818,4093000086,QN54,
50134273,HUDSON MARKET AT SHERATON NEW YORK TIMES SQUARE,Manhattan,811,7 AVENUE,10019,American,9/20/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,9/20/2024,40.76266753,-73.98209507,105,4,13100,1023159,1010050001,MN17,
41262487,MCDONALD'S,Manhattan,2549,BROADWAY,10025,Hamburgers,3/6/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,3/6/2024,40.79428784,-73.97206077,107,6,18300,1033694,1012430013,MN12,
50136430,MYSTTIK MASAALA INDIAN FOOD,Manhattan,124,EAST   14 STREET,10003,Indian,11/6/2024,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,13,A,11/6/2024,40.73378522,-73.98839212,103,2,4200,1084306,1005590016,MN22,
50133005,LI'S GARDEN,Queens,4287,MAIN ST,11355,Chinese,5/20/2024,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,52,C,5/20/2024,40.75289636,-73.82712002,407,20,79702,4115882,4051360068,QN22,
50136405,POT TO PLATE RESTAURANT,Queens,21917,MERRICK BLVD,11413,Caribbean,8/20/2024,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishmentâ€™s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,11,A,8/20/2024,40.67926291,-73.75005633,413,31,62600,4279236,4129580111,QN66,
50074297,ANGELA'S CAKE,Manhattan,2220-2222,AMSTERDAM AVE,10032,Bakery Products/Desserts,2/23/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,23,B,2/23/2024,40.84121947,-73.93593929,112,10,25300,1063056,1021270051,MN36,
50158021,MARTHA'S PASTRY & CAFE,Brooklyn,1183,BEDFORD AVENUE,11216,Coffee/Tea,9/16/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,58,N,,40.6829516,-73.95382033,303,36,24500,3051832,3018270001,BK75,
50041653,BLACK SEED BAGELS,Manhattan,176,1 AVENUE,10009,Bagels/Pretzels,2/28/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2/28/2024,40.72916527,-73.98412822,103,2,3400,1077664,1004380006,MN22,
50034130,SOO JAMAICA,Bronx,4143,WHITE PLAINS ROAD,10466,Caribbean,3/22/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,23,B,3/22/2024,40.89181215,-73.85826064,212,11,42000,2063215,2048330003,BX44,
41708888,ACHILLES HEEL,Brooklyn,180,WEST STREET,11222,American,8/23/2024,Violations were cited in the following area(s).,04C,Food worker/food vendor does not use utensil or other barrier to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,12,A,8/23/2024,40.73315845,-73.95979676,301,33,56300,3064110,3025210010,BK76,
50058902,DONGWON SUSHI & TUNA,Queens,4119,162ND ST,11358,Japanese,3/28/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,44,C,3/28/2024,40.76108231,-73.80387693,407,20,117100,4120481,4053360043,QN51,
50151373,QUEENS COFFEE SHOP BAR RESTAURANT,Queens,10845,ROOSEVELT AVE,11368,Latin American,5/14/2024,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,17,N,,40.75086129,-73.85828379,403,21,40100,4044834,4017800065,QN26,
50139396,4TH FLOOR CAFETERIA,Manhattan,221,EAST   71 STREET,10021,American,2/26/2024,Violations were cited in the following area(s).,03A,"Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.",Critical,25,N,,40.76862359,-73.96004242,108,5,12600,1076309,1014260035,MN31,
50102568,NEW YORK DELI,Queens,0,JFK INTERNATIONAL AIRPORT TERM,11430,American,7/2/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,7/2/2024,40.64831283,-73.7882815,483,31,71600,4000000,4142600001,QN98,
50081726,KENNEDY FRIED CHICKEN & PIZZERIA,Bronx,952,LONGWOOD AVENUE,10459,Chicken,8/30/2024,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,36,C,8/30/2024,40.81758212,-73.89837396,202,17,8500,2005568,2027080040,BX33,
50135888,SEASIDE NYC,Queens,3162,STEINWAY ST,11103,Seafood,3/19/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,46,N,,40.75992798,-73.91823269,401,22,15500,4010538,4006580067,QN70,
50009542,CAFE OLYMPIA,Manhattan,664,LEXINGTON AVENUE,10022,Sandwiches,5/9/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,18,B,5/9/2024,40.75989278,-73.96989137,105,4,10000,1036528,1013100059,MN19,
50148610,NOSHUP DELICATESSEN,Queens,3411,BROADWAY,11106,American,7/30/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,26,N,,40.76076556,-73.92281245,401,22,6100,4008935,4006240004,QN70,
50081051,LOS AMIGOS RESTAURANT,Bronx,674,EAST  180 STREET,10457,Spanish,10/18/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,10/18/2024,40.84840002,-73.88940963,206,15,37300,2012343,2030800089,BX17,
50123003,FIFTYLAN,Manhattan,875,6 AVENUE,10001,Coffee/Tea,1/30/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,1/30/2024,40.74798395,-73.98910784,105,3,10100,1015182,1008070039,MN17,
50004905,TARROS BAR,Queens,11113,ROOSEVELT AVE,11368,Spanish,9/24/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,27,B,9/24/2024,40.75166758,-73.85553902,403,21,40100,4441607,4017840128,QN26,
41722462,MK KARAOKE,Manhattan,11,WEST   32 STREET,10001,Korean,3/12/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,3/12/2024,40.74740722,-73.98609078,105,4,7600,1015850,1008340033,MN17,
50039403,CHANGLE CUISINE,Queens,4142A,MAIN ST,11355,Chinese,4/17/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,4/17/2024,40.75708765,-73.82897163,407,20,84900,4533985,4050420043,QN22,
41650715,"DUNKIN', BASKIN ROBBINS",Brooklyn,5510,5 AVENUE,11220,Coffee/Tea,10/17/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,10/17/2024,40.64218095,-74.01336832,307,38,7600,3014968,3008310041,BK32,
50107127,ELENI'S,Manhattan,226,3 AVENUE,10003,Other,5/30/2024,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,24,N,,40.73650761,-73.98484815,106,2,5000,1017927,1008750040,MN21,
50147009,NIKKOL'S BAR AND LOUNGE,Bronx,1507,SILVER STREET,10461,Coffee/Tea,9/12/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,40,Z,9/12/2024,40.84334871,-73.84774559,211,13,25600,2044135,2040780007,BX37,
50114726,MARINARA PIZZA,Manhattan,160,2 AVENUE,10003,Pizza,3/5/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,B,3/5/2024,40.72985454,-73.98673309,103,2,4000,1006433,1004520001,MN22,
50158320,TEE'S TERIYAKI HOUSE,Brooklyn,792,NEW LOTS AVENUE,11208,Chinese,9/12/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customerâ€™s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,11,A,9/12/2024,40.66701528,-73.88117567,305,42,112000,3097083,3043140001,BK82,
50101632,DUNKIN,Staten Island,1351,FOREST AVENUE,10302,Donuts,4/26/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,4/26/2024,40.62594977,-74.1344504,501,49,20100,5024915,5010520001,SI07,
50108323,KFC,Brooklyn,1615,UTICA AVENUE,11234,Chicken,1/23/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,1/23/2024,40.6330796,-73.92837936,318,45,72400,3213521,3077340008,BK58,
50115701,I'MILKY,Brooklyn,142,NORTH    6 STREET,11249,Not Listed/Not Applicable,1/11/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,4,A,1/11/2024,40.71766669,-73.95896922,301,34,55300,3402958,3023357501,BK73,
50129024,TACOS SAN LUCAS II,Bronx,114,EAST BURNSIDE AVENUE,10453,Mexican,8/26/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,27,B,8/26/2024,40.85296212,-73.90515887,205,14,24100,2007669,2028070059,BX41,
50034213,HAN DYNASTY,Manhattan,215,WEST   85 STREET,10024,Chinese,3/14/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,27,Z,3/14/2024,40.78727043,-73.97614438,107,6,17100,1033133,1012330016,MN12,
